Day 4 15-164-17'CL, 2 PHENYL 5 OX-A-ZOL-ONE
NQ22.17.18'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MMW.2.7.6'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
MMW.8.7'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
MMW.2.7.14'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Na 13-H'CL, DNP
Fc_08-H'CL, DINI-TRO-PHENYL
Ma_31-H'CL, DINI-TRO-PHENYL
d9/18'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
219.23'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
2B1-76'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
HuVNP'CL, 4 HY-DROXY 3 NI-TRO-PHENACETYL CAPROIC ACID   BIND-ING CON-STANT = 1.9X10-EX-P6
F10.12-7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Ib_10-H'CL, DINI-TRO-PHENYL
NQT15/10'CL, 2 PHENY-LOX-A-ZOL-ONE
8/7p7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Jb_29-H'CL, DINI-TRO-PHENYL
Nb 15-H'CL, DNP
MMW.8.18'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
47SNQP38, 2 PHENY-LOX-A-ZOL-ONE
103-A11'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
MMW.4.5'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
5G11'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Jb_42-H'CL, DINI-TRO-PHENYL
MMW.4.16'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
d9/3'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Ma_72-H'CL, DINI-TRO-PHENYL
Day 4 15-164-7'CL, 2 PHENYL 5 OX-A-ZOL-ONE
NQT17/29'CL, 2 PHENY-LOX-A-ZOL-ONE.
6B10'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MEMORY 17, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
NQT15/18A'CL, 2 PHENY-LOX-A-ZOL-ONE
NQ10 15.9'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Day 4 15-167-11'CL, 2 PHENYL 5 OX-A-ZOL-ONE
8E6'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
+10-151'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
A20/44'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Jb_24-H'CL, DINI-TRO-PHENYL
MEMORY 6, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
Jb_47-H'CL, DINI-TRO-PHENYL
Ia_01-H'CL, DINI-TRO-PHENYL
NQ5 78.2.6'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
